passage,question,answer,mutation_change,answerable,answer_type,gpt5_answer,gpt5_correct,llama_answer,llama_accuracy,gpt_old_answer,gpt_old_accuracy
"Brenin y Deyrnas Unedig a 14 teyrnas arall y Gymanwlad yw Charles III (Charles Philip Arthur George; ganwyd 14 Tachwedd 1948). Roedd wedi bod yn etifedd eglur am y mwyafrif helaeth o'i fywyd pan ddaeth yn frenin yn 73 oed yn 2022, wedi marwolaeth ei fam Elisabeth II.
Cafodd ei eni ym Mhalas Buckingham, gyda'r teitl Tywysog Charles o Gaeredin. Fe'i wnaed yn Dywysog Cymru yn 1958.
Gelwir ef yng Nghymru yn aml yn Carlo, ar ôl cân enwog Dafydd Iwan o'r un enw, a oedd yn boblogaidd iawn yng Nghymru adeg ei arwisgo yn 1969.",Pwy yw mam Charles III?,Elisabeth II,1,1,person,Elisabeth II,1,Elisabeth II,1,Elisabeth II,1
"Brenin y Deyrnas Unedig a 14 teyrnas arall y Gymanwlad yw Charles III (Charles Philip Arthur George; ganwyd 14 Tachwedd 1948). Roedd wedi bod yn etifedd eglur am y mwyafrif helaeth o'i fywyd pan ddaeth yn frenin yn 73 oed yn 2022, wedi marwolaeth ei fam Elisabeth II.
Cafodd ei eni ym Mhalas Buckingham, gyda'r teitl Tywysog Charles o Gaeredin. Fe'i wnaed yn Dywysog Cymru yn 1958.
Gelwir ef yng Nghymru yn aml yn Carlo, ar ôl cân enwog Dafydd Iwan o'r un enw, a oedd yn boblogaidd iawn yng Nghymru adeg ei arwisgo yn 1969.",Palas Buckingham yw lle cafodd e ei eni. Gwir neu gau?,gwir,0,1,true_false,Gwir,1,GWIR.,1,Gwir,1
"Brenin y Deyrnas Unedig a 14 teyrnas arall y Gymanwlad yw Charles III (Charles Philip Arthur George; ganwyd 14 Tachwedd 1948). Roedd wedi bod yn etifedd eglur am y mwyafrif helaeth o'i fywyd pan ddaeth yn frenin yn 73 oed yn 2022, wedi marwolaeth ei fam Elisabeth II.
Cafodd ei eni ym Mhalas Buckingham, gyda'r teitl Tywysog Charles o Gaeredin. Fe'i wnaed yn Dywysog Cymru yn 1958.
Gelwir ef yng Nghymru yn aml yn Carlo, ar ôl cân enwog Dafydd Iwan o'r un enw, a oedd yn boblogaidd iawn yng Nghymru adeg ei arwisgo yn 1969.",Dan ba deitl y cafodd e ei eni?,Tywysog Charles o Gaeredin,1,1,person,Tywysog Charles o Gaeredin,1,Tywysog Charles o Gaeredin,1,Tywysog Charles o Gaeredin,1
"Brenin y Deyrnas Unedig a 14 teyrnas arall y Gymanwlad yw Charles III (Charles Philip Arthur George; ganwyd 14 Tachwedd 1948). Roedd wedi bod yn etifedd eglur am y mwyafrif helaeth o'i fywyd pan ddaeth yn frenin yn 73 oed yn 2022, wedi marwolaeth ei fam Elisabeth II.
Cafodd ei eni ym Mhalas Buckingham, gyda'r teitl Tywysog Charles o Gaeredin. Fe'i wnaed yn Dywysog Cymru yn 1958.
Gelwir ef yng Nghymru yn aml yn Carlo, ar ôl cân enwog Dafydd Iwan o'r un enw, a oedd yn boblogaidd iawn yng Nghymru adeg ei arwisgo yn 1969.",Pryd daeth Charles III yn frenin?,2022,1,1,date,yn 2022,1,2022,1,2022,1
"Brenin y Deyrnas Unedig a 14 teyrnas arall y Gymanwlad yw Charles III (Charles Philip Arthur George; ganwyd 14 Tachwedd 1948). Roedd wedi bod yn etifedd eglur am y mwyafrif helaeth o'i fywyd pan ddaeth yn frenin yn 73 oed yn 2022, wedi marwolaeth ei fam Elisabeth II.
Cafodd ei eni ym Mhalas Buckingham, gyda'r teitl Tywysog Charles o Gaeredin. Fe'i wnaed yn Dywysog Cymru yn 1958.
Gelwir ef yng Nghymru yn aml yn Carlo, ar ôl cân enwog Dafydd Iwan o'r un enw, a oedd yn boblogaidd iawn yng Nghymru adeg ei arwisgo yn 1969.",Pwy yw tad Charles III?,DIM YN Y DARN TESTUN,0,0,none,DIM YN Y DARN TESTUN,1,Elisabeth II,0,Dim yn y darn testun,1
"Canwr o Gymru yw Syr Thomas Jones Woodward neu Tom Jones (ganwyd 7 Mehefin 1940). Cychwynodd ei yrfa yn y 1960au a cafodd ei rhif un cyntaf yn 1965 gyda'r gân ""It's Not Unusual"".
Mae e wedi ennill Gwobr Grammy, ac ymhlith ei ganeuon enwocaf, gellid crybwyll The Green Green Grass of Home a Delilah. Ymddangosodd hefyd yn y ffilm Under Milk Wood (ffilm Pip Broughton 2015).
Yn gynnar ei yrfa dywedodd fod ganddo lais tenor ond datblygodd i fod yn lais bariton grymus.",Pryd cychwynodd gyrfa Tom Jones?,yn y 1960au,1,1,date,Yn y 1960au,1,Y 1960au,1,1960au,1
"Canwr o Gymru yw Syr Thomas Jones Woodward neu Tom Jones (ganwyd 7 Mehefin 1940). Cychwynodd ei yrfa yn y 1960au a cafodd ei rhif un cyntaf yn 1965 gyda'r gân ""It's Not Unusual"".
Mae e wedi ennill Gwobr Grammy, ac ymhlith ei ganeuon enwocaf, gellid crybwyll The Green Green Grass of Home a Delilah. Ymddangosodd hefyd yn y ffilm Under Milk Wood (ffilm Pip Broughton 2015).
Yn gynnar ei yrfa dywedodd fod ganddo lais tenor ond datblygodd i fod yn lais bariton grymus.",Ym mha ffilm ymddangosodd Tom Jones?,Under Milk Wood,0,1,other_entity,Under Milk Wood,1,Under Milk Wood,1,Under Milk Wood (ffilm Pip Broughton 2015),1
"Canwr o Gymru yw Syr Thomas Jones Woodward neu Tom Jones (ganwyd 7 Mehefin 1940). Cychwynodd ei yrfa yn y 1960au a cafodd ei rhif un cyntaf yn 1965 gyda'r gân ""It's Not Unusual"".
Mae e wedi ennill Gwobr Grammy, ac ymhlith ei ganeuon enwocaf, gellid crybwyll The Green Green Grass of Home a Delilah. Ymddangosodd hefyd yn y ffilm Under Milk Wood (ffilm Pip Broughton 2015).
Yn gynnar ei yrfa dywedodd fod ganddo lais tenor ond datblygodd i fod yn lais bariton grymus.",Pryd cafodd Tom Jones ei rif un olaf?,DIM YN Y DARN TESTUN,0,0,none,DIM YN Y DARN TESTUN,1,DIM YN Y DARN TESTUN,1,1965,0
"Canwr o Gymru yw Syr Thomas Jones Woodward neu Tom Jones (ganwyd 7 Mehefin 1940). Cychwynodd ei yrfa yn y 1960au a cafodd ei rhif un cyntaf yn 1965 gyda'r gân ""It's Not Unusual"".
Mae e wedi ennill Gwobr Grammy, ac ymhlith ei ganeuon enwocaf, gellid crybwyll The Green Green Grass of Home a Delilah. Ymddangosodd hefyd yn y ffilm Under Milk Wood (ffilm Pip Broughton 2015).
Yn gynnar ei yrfa dywedodd fod ganddo lais tenor ond datblygodd i fod yn lais bariton grymus.",Roedd llais tenor ganddo yn gynnar ei yrfa. Gwir neu gau?,gwir,1,1,true_false,Gwir,1,Gau.,0,Gwir,1
"Canwr o Gymru yw Syr Thomas Jones Woodward neu Tom Jones (ganwyd 7 Mehefin 1940). Cychwynodd ei yrfa yn y 1960au a cafodd ei rhif un cyntaf yn 1965 gyda'r gân ""It's Not Unusual"".
Mae e wedi ennill Gwobr Grammy, ac ymhlith ei ganeuon enwocaf, gellid crybwyll The Green Green Grass of Home a Delilah. Ymddangosodd hefyd yn y ffilm Under Milk Wood (ffilm Pip Broughton 2015).
Yn gynnar ei yrfa dywedodd fod ganddo lais tenor ond datblygodd i fod yn lais bariton grymus.",Mae Tom Jones wedi ennill pa wobr?,"Grammy, Gwobr Grammy",1,1,other_entity,Gwobr Grammy,1,Ffonem.,1,Gwobr Grammy,1
"Tref a chymuned ym mwrdeistref sirol Bro Morgannwg, Cymru, yw'r Barri (Saesneg: Barry). Mae Ynys y Barri gerllaw yn gyrchfan wyliau boblogaidd, ond cafodd y gwersyllt wyliau cynt ei gau yn 1996. Ceir adfeilion castell yma hefyd. Mae Maes Awyr Rhyngwladol Caerdydd gerllaw.
Cynrychiolir yr ardal hon yn Senedd Cymru gan Jane Hutt (Llafur) ac yn Senedd y DU gan Kanishka Narayan (Llafur).
Yn ôl Cyfrifiad 2011, roedd 5,459 (11.1%) o boblogaeth (3 oed a h?n) Cymuned y Barri yn gallu siarad Cymraeg.",Ym mha fwrdeistref sirol y mae’r Barri?,Bro Morgannwg,1,1,location,Bro Morgannwg,1,Bro Morgannwg,1,Mro Morgannwg,1
"Tref a chymuned ym mwrdeistref sirol Bro Morgannwg, Cymru, yw'r Barri (Saesneg: Barry). Mae Ynys y Barri gerllaw yn gyrchfan wyliau boblogaidd, ond cafodd y gwersyllt wyliau cynt ei gau yn 1996. Ceir adfeilion castell yma hefyd. Mae Maes Awyr Rhyngwladol Caerdydd gerllaw.
Cynrychiolir yr ardal hon yn Senedd Cymru gan Jane Hutt (Llafur) ac yn Senedd y DU gan Kanishka Narayan (Llafur).
Yn ôl Cyfrifiad 2011, roedd 5,459 (11.1%) o boblogaeth (3 oed a h?n) Cymuned y Barri yn gallu siarad Cymraeg.",Cymuned a thref yng Nghymru yw'r Barri. Gwir neu gau?,gwir,1,1,true_false,Gwir,1,WYR,0,Gwir,1
"Tref a chymuned ym mwrdeistref sirol Bro Morgannwg, Cymru, yw'r Barri (Saesneg: Barry). Mae Ynys y Barri gerllaw yn gyrchfan wyliau boblogaidd, ond cafodd y gwersyllt wyliau cynt ei gau yn 1996. Ceir adfeilion castell yma hefyd. Mae Maes Awyr Rhyngwladol Caerdydd gerllaw.
Cynrychiolir yr ardal hon yn Senedd Cymru gan Jane Hutt (Llafur) ac yn Senedd y DU gan Kanishka Narayan (Llafur).
Yn ôl Cyfrifiad 2011, roedd 5,459 (11.1%) o boblogaeth (3 oed a h?n) Cymuned y Barri yn gallu siarad Cymraeg.",Beth yw poblogaeth (3 oed a h?n) Cymuned y Barri sy'n gallu siarad Cymraeg yn ôl Cyfrifiad 2011?,"5,459",1,1,other_numeric,"5,459",1,"5,459",1,"5,459",1
"Tref a chymuned ym mwrdeistref sirol Bro Morgannwg, Cymru, yw'r Barri (Saesneg: Barry). Mae Ynys y Barri gerllaw yn gyrchfan wyliau boblogaidd, ond cafodd y gwersyllt wyliau cynt ei gau yn 1996. Ceir adfeilion castell yma hefyd. Mae Maes Awyr Rhyngwladol Caerdydd gerllaw.
Cynrychiolir yr ardal hon yn Senedd Cymru gan Jane Hutt (Llafur) ac yn Senedd y DU gan Kanishka Narayan (Llafur).
Yn ôl Cyfrifiad 2011, roedd 5,459 (11.1%) o boblogaeth (3 oed a h?n) Cymuned y Barri yn gallu siarad Cymraeg.",Beth yw'r enw'r gyrchfan wyliau boblogaidd gerllaw'r Barri?,Ynys y Barri,0,1,location,Ynys y Barri,1,Ynys y Barri,1,DIM YN Y DARN TESTUN,0
"Tref a chymuned ym mwrdeistref sirol Bro Morgannwg, Cymru, yw'r Barri (Saesneg: Barry). Mae Ynys y Barri gerllaw yn gyrchfan wyliau boblogaidd, ond cafodd y gwersyllt wyliau cynt ei gau yn 1996. Ceir adfeilion castell yma hefyd. Mae Maes Awyr Rhyngwladol Caerdydd gerllaw.
Cynrychiolir yr ardal hon yn Senedd Cymru gan Jane Hutt (Llafur) ac yn Senedd y DU gan Kanishka Narayan (Llafur).
Yn ôl Cyfrifiad 2011, roedd 5,459 (11.1%) o boblogaeth (3 oed a h?n) Cymuned y Barri yn gallu siarad Cymraeg.",Ble mae'r llyfrgell yn y Barri?,DIM YN Y DARN TESTUN,0,0,none,DIM YN Y DARN TESTUN,1,DIM YN Y DARN TESTUN,1,DIM YN Y DARN TESTUN,1
"Gwleidydd o Awstralia yw Julia Gillard (ganwyd 29 Medi 1961). Roedd hi'n aelod o Blaid Lafur Awstralia. Rhwng 24 Mehefin 2010 a 26 Mehefin 2013 roedd yn Brif Weinidog Awstralia. Cyn hynny, bu'n Ddirprwy Arweinydd y Blaid Lafur. Cafodd ei geni yn y Barri, yng Nghymru, ym 1961, ond symudodd ei theulu i Adelaide, De Awstralia ym 1966. Mae hi'n weriniaethwraig o argyhoeddiad. Yn Awst 2010, yn ystod yr ymgyrch etholiad cyffredinol, cyhoeddodd y dylai Awstralia droi'n weriniaeth ar ôl marwolaeth Elisabeth II, brenhines y Deyrnas Unedig. Ar ôl colli'r bleidlais am arweinydd y Blaid Lafur, ymddiswyddodd Gillard fel Prif Weinidog ym mis Mehefin 2013. Gadawodd hi gwleidyddiaeth bryd hynny.",Ble cafodd Julia Gillard ei geni?,"Y Barri, yn y Barri",0,1,location,"Yn y Barri, yng Nghymru",1,"Y Barri, Cymru.",1,"Yn y Barri, yng Nghymru.",1
"Gwleidydd o Awstralia yw Julia Gillard (ganwyd 29 Medi 1961). Roedd hi'n aelod o Blaid Lafur Awstralia. Rhwng 24 Mehefin 2010 a 26 Mehefin 2013 roedd yn Brif Weinidog Awstralia. Cyn hynny, bu'n Ddirprwy Arweinydd y Blaid Lafur. Cafodd ei geni yn y Barri, yng Nghymru, ym 1961, ond symudodd ei theulu i Adelaide, De Awstralia ym 1966. Mae hi'n weriniaethwraig o argyhoeddiad. Yn Awst 2010, yn ystod yr ymgyrch etholiad cyffredinol, cyhoeddodd y dylai Awstralia droi'n weriniaeth ar ôl marwolaeth Elisabeth II, brenhines y Deyrnas Unedig. Ar ôl colli'r bleidlais am arweinydd y Blaid Lafur, ymddiswyddodd Gillard fel Prif Weinidog ym mis Mehefin 2013. Gadawodd hi gwleidyddiaeth bryd hynny.",I ble symudodd teulu Julia Gillard?,"Adelaide, De Awstralia",1,1,location,"i Adelaide, De Awstralia",1,"Adelaide, De Awstralia.",1,"Symudodd ei theulu i Adelaide, De Awstralia.",1
"Gwleidydd o Awstralia yw Julia Gillard (ganwyd 29 Medi 1961). Roedd hi'n aelod o Blaid Lafur Awstralia. Rhwng 24 Mehefin 2010 a 26 Mehefin 2013 roedd yn Brif Weinidog Awstralia. Cyn hynny, bu'n Ddirprwy Arweinydd y Blaid Lafur. Cafodd ei geni yn y Barri, yng Nghymru, ym 1961, ond symudodd ei theulu i Adelaide, De Awstralia ym 1966. Mae hi'n weriniaethwraig o argyhoeddiad. Yn Awst 2010, yn ystod yr ymgyrch etholiad cyffredinol, cyhoeddodd y dylai Awstralia droi'n weriniaeth ar ôl marwolaeth Elisabeth II, brenhines y Deyrnas Unedig. Ar ôl colli'r bleidlais am arweinydd y Blaid Lafur, ymddiswyddodd Gillard fel Prif Weinidog ym mis Mehefin 2013. Gadawodd hi gwleidyddiaeth bryd hynny.",Pryd ymddiswyddodd Julia Gillard fel Prif Weinidog Awstralia?,"Mehefin 2013, ym mis Mehefin 2013",0,1,date,26 Mehefin 2013,1,Mehefin 2013,1,Ym mis Mehefin 2013.,1
"Gwleidydd o Awstralia yw Julia Gillard (ganwyd 29 Medi 1961). Roedd hi'n aelod o Blaid Lafur Awstralia. Rhwng 24 Mehefin 2010 a 26 Mehefin 2013 roedd yn Brif Weinidog Awstralia. Cyn hynny, bu'n Ddirprwy Arweinydd y Blaid Lafur. Cafodd ei geni yn y Barri, yng Nghymru, ym 1961, ond symudodd ei theulu i Adelaide, De Awstralia ym 1966. Mae hi'n weriniaethwraig o argyhoeddiad. Yn Awst 2010, yn ystod yr ymgyrch etholiad cyffredinol, cyhoeddodd y dylai Awstralia droi'n weriniaeth ar ôl marwolaeth Elisabeth II, brenhines y Deyrnas Unedig. Ar ôl colli'r bleidlais am arweinydd y Blaid Lafur, ymddiswyddodd Gillard fel Prif Weinidog ym mis Mehefin 2013. Gadawodd hi gwleidyddiaeth bryd hynny.",Beth mae Julia Gillard yn ei wneud nawr?,DIM YN Y DARN TESTUN,0,0,none,DIM YN Y DARN TESTUN,1,DIM YN Y DARN TESTUN,1,DIM YN Y DARN TESTUN,1
"Gwleidydd o Awstralia yw Julia Gillard (ganwyd 29 Medi 1961). Roedd hi'n aelod o Blaid Lafur Awstralia. Rhwng 24 Mehefin 2010 a 26 Mehefin 2013 roedd yn Brif Weinidog Awstralia. Cyn hynny, bu'n Ddirprwy Arweinydd y Blaid Lafur. Cafodd ei geni yn y Barri, yng Nghymru, ym 1961, ond symudodd ei theulu i Adelaide, De Awstralia ym 1966. Mae hi'n weriniaethwraig o argyhoeddiad. Yn Awst 2010, yn ystod yr ymgyrch etholiad cyffredinol, cyhoeddodd y dylai Awstralia droi'n weriniaeth ar ôl marwolaeth Elisabeth II, brenhines y Deyrnas Unedig. Ar ôl colli'r bleidlais am arweinydd y Blaid Lafur, ymddiswyddodd Gillard fel Prif Weinidog ym mis Mehefin 2013. Gadawodd hi gwleidyddiaeth bryd hynny.",Gweriniaethwraig yw Julia Gillard. Gwir neu gau? ,gwir,1,1,true_false,Gwir,1,Gwir.,1,GWIR,1
"Llyfrgell Genedlaethol Cymru, Aberystwyth, yw llyfrgell adnau cyfreithiol cenedlaethol Cymru ac mae'n cael ei chynnal gan Llywodraeth Cymru. Hon yw'r Llyfrgell fwyaf yng Nghymru, gyda dros 6.5 miliwn o lyfrau a chyfnodolion, a'r casgliadau mwyaf o archifau, portreadau, mapiau a delweddau ffotograffig yng Nghymru. Mae'r Llyfrgell hefyd yn gartref i Archif Sgrin a Sain Genedlaethol Cymru, Archif Wleidyddol Cymru, Archif Lenyddol Cymru, a'r casgliad mwyaf cynhwysfawr o bortreadau a phrintiau topograffyddol yng Nghymru.",Mae'r Llyfrgell yn gartref i'r casgliad mwyaf cynhwysfawr o brintiau topograffyddol a beth arall yng Nghymru?,portreadau,1,1,noun_phrase,portreadau,1,Archifau Sgrin a Sain Genedlaethol Cymru.,0,"Ie, y Llyfrgell Genedlaethol Cymru yw cartref i'r casgliad mwyaf cynhwysfawr o bortreadau a phrintiau topograffyddol yng Nghymru.",0
"Llyfrgell Genedlaethol Cymru, Aberystwyth, yw llyfrgell adnau cyfreithiol cenedlaethol Cymru ac mae'n cael ei chynnal gan Llywodraeth Cymru. Hon yw'r Llyfrgell fwyaf yng Nghymru, gyda dros 6.5 miliwn o lyfrau a chyfnodolion, a'r casgliadau mwyaf o archifau, portreadau, mapiau a delweddau ffotograffig yng Nghymru. Mae'r Llyfrgell hefyd yn gartref i Archif Sgrin a Sain Genedlaethol Cymru, Archif Wleidyddol Cymru, Archif Lenyddol Cymru, a'r casgliad mwyaf cynhwysfawr o bortreadau a phrintiau topograffyddol yng Nghymru.",Pwy sy'n cynnal Llyfrgell Genedlaethol Cymru?,Llywodraeth Cymru,1,1,other_entity,Llywodraeth Cymru,1,Llywodraeth Cymru.,1,Llywodraeth Cymru,1
"Llyfrgell Genedlaethol Cymru, Aberystwyth, yw llyfrgell adnau cyfreithiol cenedlaethol Cymru ac mae'n cael ei chynnal gan Llywodraeth Cymru. Hon yw'r Llyfrgell fwyaf yng Nghymru, gyda dros 6.5 miliwn o lyfrau a chyfnodolion, a'r casgliadau mwyaf o archifau, portreadau, mapiau a delweddau ffotograffig yng Nghymru. Mae'r Llyfrgell hefyd yn gartref i Archif Sgrin a Sain Genedlaethol Cymru, Archif Wleidyddol Cymru, Archif Lenyddol Cymru, a'r casgliad mwyaf cynhwysfawr o bortreadau a phrintiau topograffyddol yng Nghymru.",Faint o lyfrau a chyfnodolion sydd yn y Llyfrgell?,dros 6.5 miliwn,0,1,other_numeric,dros 6.5 miliwn,1,6.5 miliwn,1,DROS 6.5 MILIWN,1
"Llyfrgell Genedlaethol Cymru, Aberystwyth, yw llyfrgell adnau cyfreithiol cenedlaethol Cymru ac mae'n cael ei chynnal gan Llywodraeth Cymru. Hon yw'r Llyfrgell fwyaf yng Nghymru, gyda dros 6.5 miliwn o lyfrau a chyfnodolion, a'r casgliadau mwyaf o archifau, portreadau, mapiau a delweddau ffotograffig yng Nghymru. Mae'r Llyfrgell hefyd yn gartref i Archif Sgrin a Sain Genedlaethol Cymru, Archif Wleidyddol Cymru, Archif Lenyddol Cymru, a'r casgliad mwyaf cynhwysfawr o bortreadau a phrintiau topograffyddol yng Nghymru.",Faint o fideos sydd yn y Llyfrgell?,DIM YN Y DARN TESTUN,0,0,none,DIM YN Y DARN TESTUN,1,DIM YN Y DARN TESTUN,1,DIM YN Y DARN TESTUN,1
"Llyfrgell Genedlaethol Cymru, Aberystwyth, yw llyfrgell adnau cyfreithiol cenedlaethol Cymru ac mae'n cael ei chynnal gan Llywodraeth Cymru. Hon yw'r Llyfrgell fwyaf yng Nghymru, gyda dros 6.5 miliwn o lyfrau a chyfnodolion, a'r casgliadau mwyaf o archifau, portreadau, mapiau a delweddau ffotograffig yng Nghymru. Mae'r Llyfrgell hefyd yn gartref i Archif Sgrin a Sain Genedlaethol Cymru, Archif Wleidyddol Cymru, Archif Lenyddol Cymru, a'r casgliad mwyaf cynhwysfawr o bortreadau a phrintiau topograffyddol yng Nghymru.","Mae'r Llyfrgell yn gartref i'r Archif Lenyddol Cymru, Archif Sgrin a Sain Genedlaethol Cymru a pha archif arall?",Archif Wleidyddol Cymru,0,1,other_entity,Archif Wleidyddol Cymru,1,Archif Wleidyddol Cymru.,1,Archif Wleidyddol Cymru,1
"Prifysgol ym Mharc Cathays, Caerdydd a sefydlwyd ym 1883 yw Prifysgol Caerdydd (Saesneg: Cardiff University). Roedd hi'n aelod Prifysgol Cymru tan 2004. Mae Prifysgol Caerdydd yn un o brif brifysgolion ymchwil y byd, gyda thros 60% o'r ymchwil a wneir yng Nghaerdydd wedi ei ystyried ymysg y gorau yn y byd. Yn hynny o beth, mae Prifysgol Caerdydd yn un o brifysgolion Gr?p Russell. Sefydlwyd Coleg Prifysgol De Cymru a Mynwy ym 1883, ac fe'i gorfforwyd trwy Siarter Frenhinol ym 1884. Ym 1931, gwahanwyd yr Ysgol Feddygaeth oddi wrth y Coleg er mwyn ffurfio Coleg Meddygaeth Prifysgol Cymru.",Pryd gwahanwyd yr Ysgol Feddygaeth oddi wrth y Coleg?,1931,0,1,date,Ym 1931,1,1931,1,Ym 1931,1
"Prifysgol ym Mharc Cathays, Caerdydd a sefydlwyd ym 1883 yw Prifysgol Caerdydd (Saesneg: Cardiff University). Roedd hi'n aelod Prifysgol Cymru tan 2004. Mae Prifysgol Caerdydd yn un o brif brifysgolion ymchwil y byd, gyda thros 60% o'r ymchwil a wneir yng Nghaerdydd wedi ei ystyried ymysg y gorau yn y byd. Yn hynny o beth, mae Prifysgol Caerdydd yn un o brifysgolion Gr?p Russell. Sefydlwyd Coleg Prifysgol De Cymru a Mynwy ym 1883, ac fe'i gorfforwyd trwy Siarter Frenhinol ym 1884. Ym 1931, gwahanwyd yr Ysgol Feddygaeth oddi wrth y Coleg er mwyn ffurfio Coleg Meddygaeth Prifysgol Cymru.",Parc Cathays yw'r lle Prifysgol Caerdydd. Gwir neu gau?,gwir,1,1,true_false,Gwir,1,GWIR.,1,Gwir,1
"Prifysgol ym Mharc Cathays, Caerdydd a sefydlwyd ym 1883 yw Prifysgol Caerdydd (Saesneg: Cardiff University). Roedd hi'n aelod Prifysgol Cymru tan 2004. Mae Prifysgol Caerdydd yn un o brif brifysgolion ymchwil y byd, gyda thros 60% o'r ymchwil a wneir yng Nghaerdydd wedi ei ystyried ymysg y gorau yn y byd. Yn hynny o beth, mae Prifysgol Caerdydd yn un o brifysgolion Gr?p Russell. Sefydlwyd Coleg Prifysgol De Cymru a Mynwy ym 1883, ac fe'i gorfforwyd trwy Siarter Frenhinol ym 1884. Ym 1931, gwahanwyd yr Ysgol Feddygaeth oddi wrth y Coleg er mwyn ffurfio Coleg Meddygaeth Prifysgol Cymru.",Roedd Prifysgol Caerdydd yn aelod o Brifysgol Cymru tan pryd?,2004,0,1,date,2004,1,2004,1,Roedd Prifysgol Caerdydd yn aelod o Brifysgol Cymru tan 2004.,1
"Prifysgol ym Mharc Cathays, Caerdydd a sefydlwyd ym 1883 yw Prifysgol Caerdydd (Saesneg: Cardiff University). Roedd hi'n aelod Prifysgol Cymru tan 2004. Mae Prifysgol Caerdydd yn un o brif brifysgolion ymchwil y byd, gyda thros 60% o'r ymchwil a wneir yng Nghaerdydd wedi ei ystyried ymysg y gorau yn y byd. Yn hynny o beth, mae Prifysgol Caerdydd yn un o brifysgolion Gr?p Russell. Sefydlwyd Coleg Prifysgol De Cymru a Mynwy ym 1883, ac fe'i gorfforwyd trwy Siarter Frenhinol ym 1884. Ym 1931, gwahanwyd yr Ysgol Feddygaeth oddi wrth y Coleg er mwyn ffurfio Coleg Meddygaeth Prifysgol Cymru.",Faint o fyfyrwyr sydd ym Mrifysgol Caerdydd?,DIM YN Y DARN TESTUN,0,0,none,DIM YN Y DARN TESTUN,1,DIM YN Y DARN TESTUN,1,DIM YN Y DARN TESTUN,1
"Prifysgol ym Mharc Cathays, Caerdydd a sefydlwyd ym 1883 yw Prifysgol Caerdydd (Saesneg: Cardiff University). Roedd hi'n aelod Prifysgol Cymru tan 2004. Mae Prifysgol Caerdydd yn un o brif brifysgolion ymchwil y byd, gyda thros 60% o'r ymchwil a wneir yng Nghaerdydd wedi ei ystyried ymysg y gorau yn y byd. Yn hynny o beth, mae Prifysgol Caerdydd yn un o brifysgolion Gr?p Russell. Sefydlwyd Coleg Prifysgol De Cymru a Mynwy ym 1883, ac fe'i gorfforwyd trwy Siarter Frenhinol ym 1884. Ym 1931, gwahanwyd yr Ysgol Feddygaeth oddi wrth y Coleg er mwyn ffurfio Coleg Meddygaeth Prifysgol Cymru.",Dydy Prifysgol Caerdydd ddim yng Ngr?p Russell. Gwir neu gau?,gau,0,1,true_false,Gau,1,Gwir.,0,DIM YN Y DARN TESTUN,0
"Gwlad yn y Cefnfor Tawel sydd yn cynnwys dwy ynys fawr (Ynys y Gogledd ac Ynys y De) a nifer o ynysoedd bychain yw Seland Newydd (Saesneg: New Zealand, Maori: Aotearoa). Yn iaith y Maori, pobl wreiddiol y wlad, Aotearoa yw ei henw, a chyfieithir yr enw yn aml fel ""gwlad o dan gwmwl gwyn hir"". Yn ôl y chwedlau, roedd cwmwl gwyn uwchben uwch pan ddaeth y bobl gyntaf i'r wlad. Yn ôl y Cyfrifiad Cenedlaethol diweddaraf, roedd poblogaeth y wlad yn 5,118,700 (31 Rhagfyr 2021). Auckland ar Ynys y Gogledd yw'r ddinas fwyaf, ond Wellington (ar yr un ynys) yw'r brifddinas. Christchurch yw'r ddinas fwyaf ar Ynys y De. ",Ym mha gefnfor y mae Seland Newydd?,Cefnfor Tawel,1,1,location,Cefnfor Tawel,1,Cefnfor Tawel,1,Cefnfor Tawel,1
"Gwlad yn y Cefnfor Tawel sydd yn cynnwys dwy ynys fawr (Ynys y Gogledd ac Ynys y De) a nifer o ynysoedd bychain yw Seland Newydd (Saesneg: New Zealand, Maori: Aotearoa). Yn iaith y Maori, pobl wreiddiol y wlad, Aotearoa yw ei henw, a chyfieithir yr enw yn aml fel ""gwlad o dan gwmwl gwyn hir"". Yn ôl y chwedlau, roedd cwmwl gwyn uwchben uwch pan ddaeth y bobl gyntaf i'r wlad. Yn ôl y Cyfrifiad Cenedlaethol diweddaraf, roedd poblogaeth y wlad yn 5,118,700 (31 Rhagfyr 2021). Auckland ar Ynys y Gogledd yw'r ddinas fwyaf, ond Wellington (ar yr un ynys) yw'r brifddinas. Christchurch yw'r ddinas fwyaf ar Ynys y De. ",Sut cyfieithir Aotearoa yn aml?,gwlad o dan gwmwl gwyn hir,1,1,noun_phrase,gwlad o dan gwmwl gwyn hir,1,Gwlad o dan cwmwl gwyn hir.,1,"""gwlad o dan gwmwl gwyn hir""",1
